2018-03-17 02:39:37,868 - Model_1 - INFO - start training model...
2018-03-17 02:40:44,044 - Model_1 - INFO - batch_round: 104, cost in this train batch=5.70364236831665
2018-03-17 02:40:44,572 - Model_1 - INFO - batch_round: 105, cost in this train batch=5.703906059265137
2018-03-17 02:40:45,104 - Model_1 - INFO - batch_round: 106, cost in this train batch=5.703847408294678
2018-03-17 02:40:45,639 - Model_1 - INFO - batch_round: 107, cost in this train batch=5.704249382019043
2018-03-17 02:40:46,170 - Model_1 - INFO - batch_round: 108, cost in this train batch=5.703271389007568
2018-03-17 02:40:46,707 - Model_1 - INFO - batch_round: 109, cost in this train batch=5.703600883483887
2018-03-17 02:40:47,244 - Model_1 - INFO - batch_round: 110, cost in this train batch=5.703530311584473
2018-03-17 02:40:47,779 - Model_1 - INFO - batch_round: 111, cost in this train batch=5.7039618492126465
2018-03-17 02:40:48,312 - Model_1 - INFO - batch_round: 112, cost in this train batch=5.703787326812744
2018-03-17 02:40:48,848 - Model_1 - INFO - batch_round: 113, cost in this train batch=5.703990936279297
2018-03-17 02:40:49,385 - Model_1 - INFO - batch_round: 114, cost in this train batch=5.703804969787598
2018-03-17 02:40:49,916 - Model_1 - INFO - batch_round: 115, cost in this train batch=5.704095363616943
2018-03-17 02:40:50,448 - Model_1 - INFO - batch_round: 116, cost in this train batch=5.703747749328613
2018-03-17 02:40:50,979 - Model_1 - INFO - batch_round: 117, cost in this train batch=5.7037129402160645
2018-03-17 02:40:51,513 - Model_1 - INFO - batch_round: 118, cost in this train batch=5.7040629386901855
2018-03-17 02:40:52,046 - Model_1 - INFO - batch_round: 119, cost in this train batch=5.703868865966797
2018-03-17 02:40:52,580 - Model_1 - INFO - batch_round: 120, cost in this train batch=5.704082012176514
2018-03-17 02:40:53,113 - Model_1 - INFO - batch_round: 121, cost in this train batch=5.703611373901367
2018-03-17 02:40:53,646 - Model_1 - INFO - batch_round: 122, cost in this train batch=5.704151630401611
2018-03-17 02:40:54,179 - Model_1 - INFO - batch_round: 123, cost in this train batch=5.703935146331787
2018-03-17 02:40:54,722 - Model_1 - INFO - batch_round: 124, cost in this train batch=5.703765392303467
2018-03-17 02:40:55,255 - Model_1 - INFO - batch_round: 125, cost in this train batch=5.7038960456848145
2018-03-17 02:40:55,791 - Model_1 - INFO - batch_round: 126, cost in this train batch=5.7043070793151855
2018-03-17 02:40:56,323 - Model_1 - INFO - batch_round: 127, cost in this train batch=5.703336715698242
2018-03-17 02:40:56,859 - Model_1 - INFO - batch_round: 128, cost in this train batch=5.704084396362305
2018-03-17 02:40:57,394 - Model_1 - INFO - batch_round: 129, cost in this train batch=5.703933238983154
2018-03-17 02:40:57,921 - Model_1 - INFO - batch_round: 130, cost in this train batch=5.703600883483887
2018-03-17 02:40:58,447 - Model_1 - INFO - batch_round: 131, cost in this train batch=5.703717231750488
2018-03-17 02:40:58,984 - Model_1 - INFO - batch_round: 132, cost in this train batch=5.703948497772217
2018-03-17 02:40:59,518 - Model_1 - INFO - batch_round: 133, cost in this train batch=5.703938007354736
2018-03-17 02:41:00,045 - Model_1 - INFO - batch_round: 134, cost in this train batch=5.703820705413818
2018-03-17 02:41:00,574 - Model_1 - INFO - batch_round: 135, cost in this train batch=5.7032623291015625
2018-03-17 02:41:01,103 - Model_1 - INFO - batch_round: 136, cost in this train batch=5.703495025634766
2018-03-17 02:41:01,634 - Model_1 - INFO - batch_round: 137, cost in this train batch=5.703065395355225
2018-03-17 02:41:02,162 - Model_1 - INFO - batch_round: 138, cost in this train batch=5.703883647918701
2018-03-17 02:41:02,688 - Model_1 - INFO - batch_round: 139, cost in this train batch=5.703827381134033
2018-03-17 02:41:03,214 - Model_1 - INFO - batch_round: 140, cost in this train batch=5.703210353851318
2018-03-17 02:41:03,734 - Model_1 - INFO - batch_round: 141, cost in this train batch=5.703516960144043
2018-03-17 02:41:04,259 - Model_1 - INFO - batch_round: 142, cost in this train batch=5.703358173370361
2018-03-17 02:41:04,790 - Model_1 - INFO - batch_round: 143, cost in this train batch=5.703851699829102
2018-03-17 02:41:05,326 - Model_1 - INFO - batch_round: 144, cost in this train batch=5.703920841217041
2018-03-17 02:41:05,861 - Model_1 - INFO - batch_round: 145, cost in this train batch=5.7035932540893555
2018-03-17 02:41:06,390 - Model_1 - INFO - batch_round: 146, cost in this train batch=5.703922271728516
2018-03-17 02:41:06,912 - Model_1 - INFO - batch_round: 147, cost in this train batch=5.703784942626953
2018-03-17 02:41:07,436 - Model_1 - INFO - batch_round: 148, cost in this train batch=5.703373908996582
2018-03-17 02:41:07,963 - Model_1 - INFO - batch_round: 149, cost in this train batch=5.703892230987549
2018-03-17 02:41:08,499 - Model_1 - INFO - batch_round: 150, cost in this train batch=5.703810214996338
2018-03-17 02:41:09,030 - Model_1 - INFO - batch_round: 151, cost in this train batch=5.703401565551758
2018-03-17 02:41:09,556 - Model_1 - INFO - batch_round: 152, cost in this train batch=5.704349517822266
2018-03-17 02:41:10,098 - Model_1 - INFO - batch_round: 153, cost in this train batch=5.704202175140381
2018-03-17 02:41:10,621 - Model_1 - INFO - batch_round: 154, cost in this train batch=5.7039642333984375
2018-03-17 02:41:11,158 - Model_1 - INFO - batch_round: 155, cost in this train batch=5.703774929046631
2018-03-17 02:41:11,696 - Model_1 - INFO - batch_round: 156, cost in this train batch=5.703478813171387
2018-03-17 02:41:12,236 - Model_1 - INFO - batch_round: 157, cost in this train batch=5.703570365905762
2018-03-17 02:41:12,779 - Model_1 - INFO - batch_round: 158, cost in this train batch=5.703935623168945
2018-03-17 02:41:13,306 - Model_1 - INFO - batch_round: 159, cost in this train batch=5.703604698181152
2018-03-17 02:41:13,846 - Model_1 - INFO - batch_round: 160, cost in this train batch=5.704550266265869
2018-03-17 02:41:14,388 - Model_1 - INFO - batch_round: 161, cost in this train batch=5.704059600830078
2018-03-17 02:41:14,932 - Model_1 - INFO - batch_round: 162, cost in this train batch=5.703925609588623
2018-03-17 02:41:15,474 - Model_1 - INFO - batch_round: 163, cost in this train batch=5.70413875579834
2018-03-17 02:41:16,004 - Model_1 - INFO - batch_round: 164, cost in this train batch=5.703986167907715
2018-03-17 02:41:16,541 - Model_1 - INFO - batch_round: 165, cost in this train batch=5.7044548988342285
2018-03-17 02:41:17,073 - Model_1 - INFO - batch_round: 166, cost in this train batch=5.70368766784668
2018-03-17 02:41:17,612 - Model_1 - INFO - batch_round: 167, cost in this train batch=5.703167915344238
2018-03-17 02:41:18,139 - Model_1 - INFO - batch_round: 168, cost in this train batch=5.703699111938477
2018-03-17 02:41:18,674 - Model_1 - INFO - batch_round: 169, cost in this train batch=5.70334529876709
2018-03-17 02:41:19,217 - Model_1 - INFO - batch_round: 170, cost in this train batch=5.7036356925964355
2018-03-17 02:41:19,748 - Model_1 - INFO - batch_round: 171, cost in this train batch=5.703784942626953
2018-03-17 02:41:20,289 - Model_1 - INFO - batch_round: 172, cost in this train batch=5.703076362609863
2018-03-17 02:41:20,853 - Model_1 - INFO - batch_round: 173, cost in this train batch=5.703661918640137
2018-03-17 02:41:21,379 - Model_1 - INFO - batch_round: 174, cost in this train batch=5.703417778015137
2018-03-17 02:41:21,915 - Model_1 - INFO - batch_round: 175, cost in this train batch=5.703893661499023
